koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr
CONFIRMED,CANDIDATE,1,4.14451656,135.92831,0.004,2.3421,3.92E+02,1.48,132.08,22.8
FALSE POSITIVE,FALSE POSITIVE,0,4.859386384,173.011469,1.259,2.2757,6.04E+03,38.33,364.23,269.7
CONFIRMED,CANDIDATE,0.999,10.52629458,176.522462,0.644,2.5211,9.77E+03,8.24,61.16,482.3
CONFIRMED,CANDIDATE,1,4.583520948,169.973972,0.045,2.7055,3.81E+03,5.39,274.98,99.5
CONFIRMED,CANDIDATE,0.876,3.76181843,171.90364,0.926,3.5176,5.11E+02,2.66,372.62,35.9
CONFIRMED,CANDIDATE,1,8.20396958,169.69138,0.823,2.9667,1.02E+03,3.01,71.5,54.4
CONFIRMED,CANDIDATE,1,14.49645186,143.41659,0.97,4.016,6.48E+02,3.01,33.48,25.7
CANDIDATE,CANDIDATE,1,6.54626149,133.85964,0.644,2.75,6.56E+02,2.19,101.78,24.8
CONFIRMED,CANDIDATE,1,12.71809866,175.35526,0.427,3.0957,1.15E+03,2.31,23.6,52.7
CONFIRMED,CANDIDATE,0.999,36.06588163,198.58423,0.26,4.3246,1.56E+03,2.64,5.88,51.7
CONFIRMED,CANDIDATE,1,4.190425659,171.44122,0.458,2.8589,2.88E+03,6.21,547.9,240.6
CONFIRMED,CANDIDATE,1,3.709870784,171.987982,0.023,3.0694,2.02E+03,4.35,415.1,116.1
CONFIRMED,CANDIDATE,1,16.3297527,177.29506,0.791,6.271,1.19E+03,3.75,66.08,74.6
CONFIRMED,CANDIDATE,0.985,27.80756622,186.713552,0.782,4.21587,2.54E+04,13.84,22.24,748.1
CONFIRMED,CANDIDATE,0.942,80.8723469,203.895,0.527,11.195,3.60E+03,7.59,9.88,160.9
FALSE POSITIVE,FALSE POSITIVE,0,3.166465862,172.002627,1.266,2.9381,4.36E+03,26.82,196.31,122.1
CONFIRMED,CANDIDATE,0.912,24.99324319,138.68167,0.686,5.9409,2.70E+02,2.29,60.88,62
CONFIRMED,CANDIDATE,1,10.35533116,170.93729,0.029,3.1775,7.51E+02,2.47,86.22,49.2
CONFIRMED,CANDIDATE,1,16.08518937,180.28319,0.867,3.984,1.44E+03,3.68,33.43,62.6
CANDIDATE,CANDIDATE,0.998,235.9986399,208.399822,0.778,8.2284,2.07E+04,10.59,0.29,271.8
CONFIRMED,CANDIDATE,1,7.49018305,174.95037,0.02,2.7297,1.12E+03,2.56,76.06,53
CONFIRMED,CANDIDATE,1,36.2761238,201.2869,0.035,4.7865,1.57E+03,3.03,9.29,45.5
CONFIRMED,CANDIDATE,1,17.46087931,137.26594,0.594,2.2641,8.12E+02,2.32,24.6,22.6
CONFIRMED,CANDIDATE,0.996,56.0560754,201.16578,0.018,4.685,1.63E+03,1.94,0.69,27.4
CONFIRMED,CANDIDATE,0.974,41.40831669,195.78745,0.377,5.0264,2.28E+04,11.38,9.93,907.8
CANDIDATE,CANDIDATE,0.994,39.74893077,172.854644,0.881,7.3051,1.52E+04,14.21,21.87,561.1
CONFIRMED,CANDIDATE,1,5.715425977,174.87931,0.348,2.5242,9.08E+02,2.47,123.03,59.4
CONFIRMED,CANDIDATE,0.959,49.18394185,141.911924,0.035,11.3364,1.65E+03,8.2,47.4,355.7
CONFIRMED,CANDIDATE,0.994,20.0261412,146.91109,0.957,1.611,4.21E+02,2.28,23.14,10.7
CANDIDATE,CANDIDATE,0,13.61014819,173.987319,1.081,2.594,5.73E+03,19.02,68.29,184.1
FALSE POSITIVE,FALSE POSITIVE,0,10.44331991,175.4046,0.23,2.743,1.16E+03,2.66,46.94,51.7
CONFIRMED,CANDIDATE,1,2.237489571,170.81914,0.128,1.8119,3.16E+02,1.41,427.17,30.7
FALSE POSITIVE,FALSE POSITIVE,0,5.851520671,173.8228336,0.211,3.11058,3.30E+04,14.62,155.89,1630.4
CONFIRMED,CANDIDATE,1,3.167893418,172.147959,0.026,2.1814,7.81E+02,2.62,526.23,64.8
CONFIRMED,CANDIDATE,1,4.311780262,173.576483,0.196,2.7251,1.15E+03,3.11,274.84,86.1
